prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.904
0,0,1,64,10.912
0,0,1,256,15.296
0,0,1,1024,15.809
0,0,2,16,10.848
0,0,2,64,10.752
0,0,2,256,15.647
0,0,2,1024,16.48
0,0,4,16,11.231
0,0,4,64,11.168
0,0,4,256,16.32
0,0,4,1024,17.248
0,0,8,16,11.2
0,0,8,64,11.264
0,0,8,256,16.224
0,0,8,1024,17.44
0,0,16,16,11.456
0,0,16,64,11.487
0,0,16,256,16.16
0,0,16,1024,20.672
0,0,32,16,11.808
0,0,32,64,11.52
0,0,32,256,16.705
0,0,32,1024,27.489
0,0,64,16,12.127
0,0,64,64,12.415
0,0,64,256,18.208
0,0,64,1024,45.408
0,0,128,16,13.12
0,0,128,64,15.136
0,0,128,256,26.177
0,0,128,1024,66.784
0,0,256,16,18.656
0,0,256,64,22.048
0,0,256,256,41.791
0,0,256,1024,113.088
0,0,512,16,31.326
0,0,512,64,32.543
0,0,512,256,67.424
0,0,512,1024,205.215
16,0,0,0,14.048
16,0,1,16,14.112
16,0,1,64,14.24
16,0,1,256,18.88
16,0,1,1024,20.191
16,0,2,16,14.463
16,0,2,64,13.919
16,0,2,256,18.976
16,0,2,1024,20
16,0,4,16,13.984
16,0,4,64,13.952
16,0,4,256,19.072
16,0,4,1024,20.448
16,0,8,16,14.177
16,0,8,64,13.952
16,0,8,256,18.944
16,0,8,1024,20.672
16,0,16,16,14.143
16,0,16,64,13.824
16,0,16,256,18.784
16,0,16,1024,23.904
16,0,32,16,14.943
16,0,32,64,15.071
16,0,32,256,19.584
16,0,32,1024,31.04
16,0,64,16,14.848
16,0,64,64,15.326
16,0,64,256,21.217
16,0,64,1024,47.264
16,0,128,16,15.872
16,0,128,64,18.4
16,0,128,256,30.112
16,0,128,1024,70.496
16,0,256,16,22.752
16,0,256,64,26.24
16,0,256,256,45.216
16,0,256,1024,117.472
16,16,0,0,13.952
16,16,1,16,14.335
