prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,1024,256,256,88.672
16,1024,256,1024,209.184
64,0,0,0,14.72
64,0,1,16,14.911
64,0,1,64,14.784
64,0,1,256,18.751
64,0,1,1024,20.064
64,0,2,16,14.784
64,0,2,64,14.911
64,0,2,256,18.72
64,0,2,1024,20.128
64,0,4,16,14.849
64,0,4,64,14.816
64,0,4,256,18.816
64,0,4,1024,21.184
64,0,8,16,15.04
64,0,8,64,14.946
64,0,8,256,19.167
64,0,8,1024,22.976
64,0,16,16,15.456
64,0,16,64,15.873
64,0,16,256,19.648
64,0,16,1024,37.088
64,0,32,16,16.128
64,0,32,64,15.872
64,0,32,256,21.217
64,0,32,1024,51.712
64,0,64,16,20.64
64,0,64,64,21.696
64,0,64,256,32.096
64,0,64,1024,76
64,0,128,16,21.6
64,0,128,64,24.128
64,0,128,256,44.64
64,0,128,1024,114.144
64,0,256,16,32.768
64,0,256,64,38.112
64,0,256,256,73.408
64,0,256,1024,210.432
64,16,0,0,14.846
64,16,1,16,14.816
64,16,1,64,15.264
64,16,1,256,18.72
64,16,1,1024,19.2
64,16,2,16,14.688
64,16,2,64,15.2
64,16,2,256,18.913
64,16,2,1024,20
64,16,4,16,15.073
64,16,4,64,14.848
64,16,4,256,18.88
64,16,4,1024,19.935
64,16,8,16,14.912
64,16,8,64,14.943
64,16,8,256,18.976
64,16,8,1024,22.722
64,16,16,16,15.616
64,16,16,64,15.648
64,16,16,256,19.424
64,16,16,1024,35.712
64,16,32,16,15.84
64,16,32,64,15.968
64,16,32,256,20.768
64,16,32,1024,51.424
64,16,64,16,20.544
64,16,64,64,20.928
64,16,64,256,32.064
64,16,64,1024,72.834
64,16,128,16,21.472
64,16,128,64,24.512
64,16,128,256,41.535
64,16,128,1024,115.904
64,16,256,16,33.247
64,16,256,64,38.145
64,16,256,256,72.161
64,16,256,1024,209.311
64,64,0,0,16.576
64,64,1,16,16.641
64,64,1,64,16.545
64,64,1,256,18.88
64,64,1,1024,22.336
64,64,2,16,16.352
64,64,2,64,16.352
64,64,2,256,18.721
64,64,2,1024,21.44
64,64,4,16,16.928
64,64,4,64,16.512
64,64,4,256,18.528
64,64,4,1024,25.952
64,64,8,16,16.289
64,64,8,64,16.161
64,64,8,256,18.849
64,64,8,1024,23.39
64,64,16,16,16.8
64,64,16,64,17.217
64,64,16,256,19.584
64,64,16,1024,36.416
64,64,32,16,17.6
64,64,32,64,17.664
64,64,32,256,20.8
64,64,32,1024,52.478
64,64,64,16,20.638
64,64,64,64,21.408
64,64,64,256,32.096
64,64,64,1024,73.407
64,64,128,16,23.552
64,64,128,64,25.247
64,64,128,256,41.504
64,64,128,1024,116.064
64,64,256,16,32.896
64,64,256,64,37.697
64,64,256,256,72.992
64,64,256,1024,210.08
64,256,0,0,19.584
64,256,1,16,19.999
64,256,1,64,19.553
64,256,1,256,19.458
64,256,1,1024,23.167
64,256,2,16,19.456
64,256,2,64,20.159
64,256,2,256,19.776
64,256,2,1024,21.728
64,256,4,16,19.424
64,256,4,64,20.192
64,256,4,256,19.648
64,256,4,1024,28.705
64,256,8,16,19.519
64,256,8,64,19.873
64,256,8,256,19.582
64,256,8,1024,28.992
64,256,16,16,20.288
64,256,16,64,20.159
64,256,16,256,20.322
64,256,16,1024,36.417
64,256,32,16,20.224
64,256,32,64,20.897
64,256,32,256,21.216
64,256,32,1024,56.833
64,256,64,16,20.992
64,256,64,64,21.888
64,256,64,256,37.184
64,256,64,1024,80.224
64,256,128,16,27.103
64,256,128,64,28.768
64,256,128,256,44.864
64,256,128,1024,114.593
64,256,256,16,34.464
64,256,256,64,37.824
64,256,256,256,77.088
64,256,256,1024,214.015
64,1024,0,0,28.032
64,1024,1,16,28.191
64,1024,1,64,28.128
64,1024,1,256,28.16
64,1024,1,1024,28.127
64,1024,2,16,28.16
64,1024,2,64,28.193
64,1024,2,256,28.48
64,1024,2,1024,28.192
64,1024,4,16,30.272
64,1024,4,64,29.697
64,1024,4,256,29.696
64,1024,4,1024,30.4
