layer,tokens,time_us
layernorm,672,4.592
layernorm,688,4.64
layernorm,704,4.576
layernorm,720,4.512
layernorm,736,4.592
layernorm,752,4.576
layernorm,768,4.64
layernorm,784,4.592
layernorm,800,5.104
layernorm,816,5.168
layernorm,832,5.12
layernorm,848,5.168
layernorm,864,5.12
layernorm,880,5.2
layernorm,896,5.12
layernorm,912,5.28
layernorm,928,5.36
layernorm,944,5.296
layernorm,960,5.376
layernorm,976,5.472
layernorm,992,5.4555
layernorm,1008,5.376
layernorm,1024,5.44
linear_attention,1,60.223
linear_attention,2,102.205
linear_attention,3,104.128
linear_attention,4,103.132
linear_attention,5,104.862
linear_attention,6,105.634
linear_attention,7,105.118
linear_attention,8,105.725
linear_attention,9,107.268
linear_attention,10,107.231
linear_attention,11,107.293
linear_attention,12,107.998
linear_attention,13,108.514
linear_attention,14,109.021
linear_attention,15,109.026
linear_attention,16,108.161
linear_attention,20,109.087
linear_attention,24,110.018
linear_attention,28,110.241
linear_attention,32,110.629
linear_attention,36,111.873
linear_attention,40,111.519
linear_attention,44,110.14
linear_attention,48,112.864
linear_attention,52,112.609
linear_attention,56,113.215
linear_attention,60,111.516
linear_attention,64,112.48
linear_attention,80,118.336
linear_attention,96,117.858
linear_attention,112,120.862
linear_attention,128,121.598
linear_attention,144,124.926
linear_attention,160,129.725
linear_attention,176,128.994
linear_attention,192,130.012
linear_attention,208,133.955
linear_attention,224,136.192
linear_attention,240,137.503
linear_attention,256,135.455
linear_attention,272,142.621
linear_attention,288,145.95
linear_attention,304,147.584
linear_attention,320,152.256
linear_attention,336,153.087
linear_attention,352,159.009
linear_attention,368,159.293
linear_attention,384,161.093
linear_attention,400,165.826
linear_attention,416,183.166
linear_attention,432,173.761
linear_attention,448,183.81
linear_attention,464,182.976
linear_attention,480,188.386
linear_attention,496,188.544
linear_attention,512,190.467
linear_attention,528,195.04
linear_attention,544,206.4
linear_attention,560,202.594
linear_attention,576,221.213
linear_attention,592,216.034
linear_attention,608,215.262
linear_attention,624,216.096
linear_attention,640,225.276
linear_attention,656,229.535
linear_attention,672,240.126
linear_attention,688,230.364
linear_attention,704,241.312
linear_attention,720,247.49
linear_attention,736,246.72
linear_attention,752,247.746
linear_attention,768,248.733
linear_attention,784,258.654
linear_attention,800,267.808
linear_attention,816,260.865
linear_attention,832,297.087
linear_attention,848,273.697
linear_attention,864,277.376
linear_attention,880,276.096
linear_attention,896,285.12
linear_attention,912,291.679
linear_attention,928,295.9
linear_attention,944,290.174
linear_attention,960,299.839
linear_attention,976,299.97
linear_attention,992,300.868
linear_attention,1008,303.038
linear_attention,1024,304.063
o_proj,1,10.272
o_proj,2,10.176
o_proj,3,10.144
o_proj,4,10.304
o_proj,5,10.144
o_proj,6,10.209
o_proj,7,10.048
o_proj,8,10.048
o_proj,9,10.078
o_proj,10,10.112
o_proj,11,10.208
o_proj,12,10.656
o_proj,13,10.046
o_proj,14,10.08
o_proj,15,10.304
o_proj,16,10.176
o_proj,20,10.144
o_proj,24,10.24
o_proj,28,10.208
o_proj,32,10.24
o_proj,36,10.496
o_proj,40,10.495
o_proj,44,9.408
o_proj,48,10.592
o_proj,52,10.559
o_proj,56,10.464
o_proj,60,11.36
o_proj,64,10.496
o_proj,80,10.56
o_proj,96,10.336
o_proj,112,11.84
o_proj,128,10.784
o_proj,144,10.368
o_proj,160,14.304
o_proj,176,13.056
o_proj,192,14.016
o_proj,208,13.44
o_proj,224,14.56
o_proj,240,11.392
o_proj,256,11.424
o_proj,272,14.497
o_proj,288,12.704
o_proj,304,14.976
o_proj,320,16.672
o_proj,336,14.08
o_proj,352,16.576
o_proj,368,15.104
o_proj,384,15.36
o_proj,400,15.263
o_proj,416,17.728
o_proj,432,15.84
o_proj,448,18.848
o_proj,464,16.736
o_proj,480,22.015
o_proj,496,19.295
o_proj,512,18.88
o_proj,528,17.152
o_proj,544,20.992
o_proj,560,20.064
o_proj,576,23.648
o_proj,592,23.905
o_proj,608,21.792
o_proj,624,20.511
o_proj,640,20.48
o_proj,656,24.351
o_proj,672,19.776
o_proj,688,20.576
o_proj,704,28.384
o_proj,720,24.288
o_proj,736,23.936
o_proj,752,21.472
o_proj,768,21.216
o_proj,784,27.04
o_proj,800,30.336
o_proj,816,23.616
o_proj,832,36.928
o_proj,848,27.008
o_proj,864,25.567
o_proj,880,22.56
o_proj,896,23.616
o_proj,912,27.615
o_proj,928,28.801
o_proj,944,23.456
o_proj,960,23.008
o_proj,976,23.104
o_proj,992,23.264
o_proj,1008,23.713
o_proj,1024,23.329
qk_norm,1,1.856
qk_norm,2,4.16
qk_norm,3,2.144
qk_norm,4,2.032
qk_norm,5,2.08
qk_norm,6,2.032
qk_norm,7,2.144
qk_norm,8,2.096
qk_norm,9,2.016
qk_norm,10,2.096
qk_norm,11,2.096
qk_norm,12,2.1275
qk_norm,13,2.176
qk_norm,14,2.112
qk_norm,15,2.112
qk_norm,16,2.1115
qk_norm,20,2.144
qk_norm,24,2.176
qk_norm,28,2.24
qk_norm,32,2.1285
qk_norm,36,2.1755
qk_norm,40,2.144
qk_norm,44,2.224
qk_norm,48,2.1915
qk_norm,52,2.256
qk_norm,56,2.256
qk_norm,60,2.32
qk_norm,64,2.2725
qk_norm,80,2.32
qk_norm,96,2.384
qk_norm,112,2.464
qk_norm,128,2.544
qk_norm,144,2.544
qk_norm,160,2.6245
qk_norm,176,2.656
qk_norm,192,2.672
qk_norm,208,2.704
qk_norm,224,2.816
qk_norm,240,2.8
qk_norm,256,2.912
qk_norm,272,2.928
qk_norm,288,3.024
qk_norm,304,3.056
qk_norm,320,3.056
qk_norm,336,3.088
qk_norm,352,3.216
qk_norm,368,3.28
qk_norm,384,3.392
qk_norm,400,3.392
qk_norm,416,3.328
qk_norm,432,3.456
qk_norm,448,3.504
qk_norm,464,3.584
qk_norm,480,3.632
qk_norm,496,3.728
qk_norm,512,3.808
qk_norm,528,3.776
qk_norm,544,4.064
qk_norm,560,4.064
qk_norm,576,4.208
qk_norm,592,4.208
qk_norm,608,4.352
qk_norm,624,4.336
qk_norm,640,4.4
qk_norm,656,4.608
qk_norm,672,4.576
qk_norm,688,4.6725
qk_norm,704,4.7525
qk_norm,720,4.7845
qk_norm,736,4.976
qk_norm,752,4.928
qk_norm,768,4.96
qk_norm,784,5.1365
qk_norm,800,5.136
qk_norm,816,5.216
qk_norm,832,5.1685
qk_norm,848,5.264
qk_norm,864,5.4075
qk_norm,880,5.6
qk_norm,896,5.6165
qk_norm,912,5.568
qk_norm,928,5.7605
qk_norm,944,5.76
qk_norm,960,5.984
qk_norm,976,5.904
qk_norm,992,5.936
qk_norm,1008,6.016
qk_norm,1024,6.1755
qkv_proj,1,16.128
qkv_proj,2,15.136
qkv_proj,3,15.039
qkv_proj,4,15.104
qkv_proj,5,15.136
qkv_proj,6,15.232
qkv_proj,7,15.104
qkv_proj,8,15.168
qkv_proj,9,15.168
qkv_proj,10,15.072
qkv_proj,11,15.104
qkv_proj,12,15.135
qkv_proj,13,15.104
qkv_proj,14,15.039
qkv_proj,15,15.136
qkv_proj,16,15.2
qkv_proj,20,15.36
qkv_proj,24,15.84
qkv_proj,28,15.264
qkv_proj,32,15.552
qkv_proj,36,15.488
qkv_proj,40,15.424
qkv_proj,44,15.68
qkv_proj,48,16.256
qkv_proj,52,15.648
qkv_proj,56,15.68
qkv_proj,60,15.712
qkv_proj,64,15.456
qkv_proj,80,16.065
qkv_proj,96,16.352
qkv_proj,112,16.159
qkv_proj,128,16.224
qkv_proj,144,16.575
qkv_proj,160,16.96
qkv_proj,176,16.96
qkv_proj,192,17.183
qkv_proj,208,18.784
qkv_proj,224,17.088
qkv_proj,240,17.344
qkv_proj,256,17.312
qkv_proj,272,21.088
qkv_proj,288,21.216
qkv_proj,304,27.936
qkv_proj,320,28.192
